ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742126::Name,1075849056::Physical Data Type,1075849176::Physical Name,1075849452::Domain Parent,1075850737::Schema
1075838983::1133,FullNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,sdOrdinalNumber,smallint,sdOrdinalNumber,dNumber,dNumber
1075838983::1245,sdFlagBit,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,CustomerComments,nvarchar(200),CustomerComments,sdLongTextString,sdLongTextString
1075838983::1265,AddressString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,VehicleSalesThresholdCategory,nvarchar(50),VehicleSalesThresholdCategory,sdMarketingTextString,sdMarketingTextString
1075838983::1329,sdCountryStringVariants,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,DateAdded,Datetime2(7),DateAdded,sdSysTime,sdSysTime
1075838983::1331,FlagFalse,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,sdPersonNameString,nvarchar(50),sdPersonNameString,dString,dString
1075838983::1333,DepartmentString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,sdTimeString,nvarchar(20),sdTimeString,dString,dString
1075838983::1334,sdShortTextString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,ClassTimeString,nvarchar(20),ClassTimeString,sdTimeString,sdTimeString
1075838983::1335,FirstNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,sdProjectString,nvarchar(50),sdProjectString,dString,dString
1075838983::1336,VehicleManufacturerMarketingType,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,GrouplProjectNameString,nvarchar(50),GrouplProjectNameString,sdProjectString,sdProjectString
1075838983::1345,sdBusinessComponentsString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,DateOfLastUpdate,Datetime2(7),DateOfLastUpdate,sdSysTime,sdSysTime
1075838983::1346,dBlob,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,FirstNameString,nvarchar(25),FirstNameString,sdPersonNameString,sdPersonNameString
1075838983::1347,TransactionNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,LastNameString,nvarchar(25),LastNameString,sdPersonNameString,sdPersonNameString
1075838983::1409,Note,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,sdCustomerString,nvarchar(20),sdCustomerString,dString,dString
1075838983::1417,VehicleIdentifier,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,FullNameString,nvarchar(50),FullNameString,sdPersonNameString,sdPersonNameString
1075838983::1429,Blob,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,VehicleManufacturerMarketingType,nvarchar(250),VehicleManufacturerMarketingType,sdVehicleDescriptorString,sdVehicleDescriptorString
