ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1073742125::Definition,1075848986::Value  [read only],1075849083::Default,1075849148::Comments,1075850193::Dependent Objects  [read only],1075850212::Constraint Name,1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only]
1075839170::778,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,Default Constraint Usage,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_SalesOrderVehicle_SysStartTime_SysStartTime,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,
1075839170::780,DF_SalesOrderVehicle_SysEndTime_SysEndTime,Default Constraint Usage,DF_SalesOrderVehicle_SysEndTime_SysEndTime,DF_SalesOrderVehicle_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_SalesOrderVehicle_SysEndTime_SysEndTime,DF_SalesOrderVehicle_SysEndTime_SysEndTime,
1075839170::796,DF_Country_SysStartTime_Sysdatetime,Default Constraint Usage,DF_Country_SysStartTime_Sysdatetime,DF_Country_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_Country_SysStartTime_SysStartTime,DF_Country_SysStartTime_Sysdatetime,
1075839170::798,DF_Country_SysEndTime_SysEndTime,Default Constraint Usage,DF_Country_SysEndTime_SysEndTime,DF_Country_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_Country_SysEndTime_SysEndTime,DF_Country_SysEndTime_SysEndTime,
1075839170::823,DF_Staff_SysStartTime_Sysdatetime,Default Constraint Usage,DF_Staff_SysStartTime_Sysdatetime,DF_Staff_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_Staff_SysStartTime_SysStartTime,DF_Staff_SysStartTime_Sysdatetime,
1075839170::825,DF_Staff_SysEndTime_SysEndTime,Default Constraint Usage,DF_Staff_SysEndTime_SysEndTime,DF_Staff_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_Staff_SysEndTime_SysEndTime,DF_Staff_SysEndTime_SysEndTime,
1075839170::832,DF_Customer_SysStartTime_Sysdatetime,Default Constraint Usage,DF_Customer_SysStartTime_Sysdatetime,DF_Customer_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_Customer_SysStartTime_SysStartTime,DF_Customer_SysStartTime_Sysdatetime,
1075839170::834,DF_Customer_SysEndTime_SysEndTime,Default Constraint Usage,DF_Customer_SysEndTime_SysEndTime,DF_Customer_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_Customer_SysEndTime_SysEndTime,DF_Customer_SysEndTime_SysEndTime,
1075839170::835,DF_ManufacturerVehicleStock_Cost_Price,Default Constraint Usage,DF_ManufacturerVehicleStock_Cost_Price,DF_ManufacturerVehicleStock_Cost_Price,,0,DF_Template_Price,,,DF_ManufacturerVehicleStock_Cost_Price,DF_ManufacturerVehicleStock_Cost_Price,
1075839170::836,DF_ManufacturerVehicleStock_RepairsCharge_Price,Default Constraint Usage,DF_ManufacturerVehicleStock_RepairsCharge_Price,DF_ManufacturerVehicleStock_RepairsCharge_Price,,0,DF_Template_Price,,,DF_ManufacturerVehicleStock_RepairsCharge_Price,DF_ManufacturerVehicleStock_RepairsCharge_Price,
