ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1073742125::Definition,1075848986::Value  [read only],1075849083::Default,1075849148::Comments,1075850193::Dependent Objects  [read only],1075850212::Constraint Name,1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only]
1075839170::1081,DF_Country_CountryISO2_Unavailable,Default Constraint Usage,DF_Country_CountryISO2_Unavailable,DF_Country_CountryISO2_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_Country_CountryISO2_Unavailable,DF_Country_CountryISO2_Unavailable,
1075839170::1082,DF_Country_SalesRegion_Unavailable,Default Constraint Usage,DF_Country_SalesRegion_Unavailable,DF_Country_SalesRegion_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_Country_SalesRegion_Unavailable,DF_Country_SalesRegion_Unavailable,
1075839170::1083,DF_CountryISO2,Default Constraint Usage,DF_CountryISO2,DF_CountryISO2,,'AA',DF_Template_CountryISO2,,,DF_CountryISO2_Unavailable,DF_CountryISO2,
1075839170::1085,DF_Domain_1022_Unavailable,Default Constraint Usage,DF_Domain_1022_Unavailable,DF_Domain_1022_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_Department_Department_Unavailable,DF_Domain_1022_Unavailable,DF_Domain_1022_Unavailable,
1075839170::1086,DF_Department_Department_Unavailable,Default Constraint Usage,DF_Department_Department_Unavailable,DF_Department_Department_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_Department_Department_Unavailable,DF_Department_Department_Unavailable,
1075839170::1087,DF_sdAddressesString_Unavailable,Default Constraint Usage,DF_sdAddressesString_Unavailable,DF_sdAddressesString_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_sdAddressesString_Unavailable,DF_sdAddressesString_Unavailable,
1075839170::1090,DF_CountryString_Unavailable,Default Constraint Usage,DF_CountryString_Unavailable,DF_CountryString_Unavailable,,'Unavailable',DF_Template_Unavailable,,"DF_Customer_CustomerCountry_Unavailable,DF_Template_Unavailable_1653628511",DF_CountryString_Unknown,DF_CountryString_Unavailable,
1075839170::1091,DF_dString_Unavailable,Default Constraint Usage,DF_dString_Unavailable,DF_dString_Unavailable,,'Unavailable',DF_Template_Unavailable,,"DF_sdLongTextString_Unavailable,DF_sdFlagString_Unavailable,DF_sdShortTextString_Unavailable,DF_sdVehicleDescriptonString_Unavailable,DF_sdCountryStringVariants_Unavailable,DF_sdBusinessComponentsString_Unavailable,DF_sdPersonNameString_Unavailable,Default_Constraint_Usage_1379,DF_sdCustomerString_Unavailable,Default_Constraint_Usage_1468",DF_dString_Unavailable,DF_dString_Unavailable,
1075839170::1092,DF_sdLongTextString_Unavailable,Default Constraint Usage,DF_sdLongTextString_Unavailable,DF_sdLongTextString_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_CustomerComments_Unavailable,DF_sdLongTextString_Unavailable,DF_sdLongTextString_Unavailable,
1075839170::1093,DF_sdFlagString_Unavailable,Default Constraint Usage,DF_sdFlagString_Unavailable,DF_sdFlagString_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_sdFlagString_Unavailable,DF_sdFlagString_Unavailable,
1075839170::1094,DF_sdShortTextString_Unavailable,Default Constraint Usage,DF_sdShortTextString_Unavailable,DF_sdShortTextString_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_StockCode_Unavailable,DF_sdShortTextString_Unavailable,DF_sdShortTextString_Unavailable,
1075839170::1095,DF_StockCode_Unavailable,Default Constraint Usage,DF_StockCode_Unavailable,DF_StockCode_Unavailable,,'Unavailable',DF_Template_Unavailable,,"DF_ManufacturerVehicleStock_StockCode_Unavailable,DF_SalesOrderVehicleDetail_StockCode_Unavailable",DF_StockCode_Unavailable,DF_StockCode_Unavailable,
1075839170::1096,DF_ManufacturerVehicleStock_StockCode_Unavailable,Default Constraint Usage,DF_ManufacturerVehicleStock_StockCode_Unavailable,DF_ManufacturerVehicleStock_StockCode_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_ManufacturerVehicleStock_StockCode_Unavailable,DF_ManufacturerVehicleStock_StockCode_Unavailable,
1075839170::1097,DF_SalesOrderVehicleDetail_StockCode_Unavailable,Default Constraint Usage,DF_SalesOrderVehicleDetail_StockCode_Unavailable,DF_SalesOrderVehicleDetail_StockCode_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_SalesOrderVehicleDetail_StockCode_Unavailable,DF_SalesOrderVehicleDetail_StockCode_Unavailable,
1075839170::1098,DF_sdVehicleDescriptonString_Unavailable,Default Constraint Usage,DF_sdVehicleDescriptonString_Unavailable,DF_sdVehicleDescriptonString_Unavailable,,'Unavailable',DF_Template_Unavailable,,"Default_Constraint_Usage_1399,Default_Constraint_Usage_1430",DF_sdVehicleDescriptonString_Unavailable,DF_sdVehicleDescriptonString_Unavailable,
1075839170::1102,DF_sdCountryStringVariants_Unavailable,Default Constraint Usage,DF_sdCountryStringVariants_Unavailable,DF_sdCountryStringVariants_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_sdCountryStringVariants_Unavailable,DF_sdCountryStringVariants_Unavailable,
1075839170::1103,DF_sdBusinessComponentsString_Unavailable,Default Constraint Usage,DF_sdBusinessComponentsString_Unavailable,DF_sdBusinessComponentsString_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_sdBusinessComponentsString_Unavailable,DF_sdBusinessComponentsString_Unavailable,
1075839170::1106,DF_SurrogateKeyNumber_SequenceStartingValue,Default Constraint Usage,DF_SurrogateKeyNumber_SequenceStartingValue,DF_SurrogateKeyNumber_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,"DF_ManufacturerVehicleStock_ManufacturerVehicleStockID_SequenceStartingValue,DF_CustomerExpenditureClassification_CustomerExpenditureClassifierID_SequenceStartingValue,DF_Template_SequenceStartingValue_1575684916,DF_Country_CountryID_SequenceStartingValue,DF_Customer_CustomerID_SequenceStartingValue,DF_ManufacturerMarketingCategory_ManufacturerMarketingCategoryId_SequenceStartingValue",DF_SurrogateKeyNumber_SequenceStartingValue,DF_SurrogateKeyNumber_SequenceStartingValue,
1075839170::1107,DF_ManufacturerVehicleModel_ManufacturerModelID_SequenceStartingValue,Default Constraint Usage,DF_ManufacturerVehicleModel_ManufacturerModelID_SequenceStartingValue,DF_ManufacturerVehicleModel_ManufacturerModelID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_ManufacturerVehicleModel_ManufacturerModelID_SequenceStartingValue,DF_ManufacturerVehicleModel_ManufacturerModelID_SequenceStartingValue,
1075839170::1108,DF_ManufacturerVehicleStock_ManufacturerModelID_ForeignKeyValue,Default Constraint Usage,DF_ManufacturerVehicleStock_ManufacturerModelID_ForeignKeyValue,DF_ManufacturerVehicleStock_ManufacturerModelID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_ManufacturerVehicleStock_ManufacturerModelID_SequenceStartingValue,DF_ManufacturerVehicleStock_ManufacturerModelID_ForeignKeyValue,
1075839170::1109,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeID_SequenceStartingValue,Default Constraint Usage,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeID_SequenceStartingValue,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeID_SequenceStartingValue,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeID_SequenceStartingValue,
1075839170::1110,DF_ManufacturerVehicleModel_ManufacturerVehicleMakeID_ForeignKeyValue,Default Constraint Usage,DF_ManufacturerVehicleModel_ManufacturerVehicleMakeID_ForeignKeyValue,DF_ManufacturerVehicleModel_ManufacturerVehicleMakeID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_ManufacturerVehicleModel_ManufacturerVehicleMakeID_SequenceStartingValue,DF_ManufacturerVehicleModel_ManufacturerVehicleMakeID_ForeignKeyValue,
1075839170::1112,DF_SalesOrderVehicle_SalesOrderVehicleID_SequenceStartingValue,Default Constraint Usage,DF_SalesOrderVehicle_SalesOrderVehicleID_SequenceStartingValue,DF_SalesOrderVehicle_SalesOrderVehicleID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_SalesOrderVehicle_SalesOrderVehicleID_SequenceStartingValue,DF_SalesOrderVehicle_SalesOrderVehicleID_SequenceStartingValue,
1075839170::1113,DF_SalesOrderVehicleDetail_SalesOrderVehicleID_ForeignKeyValue,Default Constraint Usage,DF_SalesOrderVehicleDetail_SalesOrderVehicleID_ForeignKeyValue,DF_SalesOrderVehicleDetail_SalesOrderVehicleID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_SalesOrderVehicleDetail_SalesOrderVehicleID_SequenceStartingValue,DF_SalesOrderVehicleDetail_SalesOrderVehicleID_ForeignKeyValue,
1075839170::1114,DF_SalesOrderVehicle_CustomerID_SequenceStartingValue,Default Constraint Usage,DF_SalesOrderVehicle_CustomerID_SequenceStartingValue,DF_SalesOrderVehicle_CustomerID_SequenceStartingValue,,0,DF_Template_ForeignKeyValue,,,DF_SalesOrderVehicle_CustomerID_SequenceStartingValue,DF_SalesOrderVehicle_CustomerID_SequenceStartingValue,
1075839170::1115,DF_SalesOrderVehicle_StaffID_ForeignKeyValue,Default Constraint Usage,DF_SalesOrderVehicle_StaffID_ForeignKeyValue,DF_SalesOrderVehicle_StaffID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_SalesOrderVehicle_StaffID_SequenceStartingValue,DF_SalesOrderVehicle_StaffID_ForeignKeyValue,
1075839170::1116,DF_SalesOrderVehicleDetail_SalesOrderVehicleDetailID_SequenceStartingValue,Default Constraint Usage,DF_SalesOrderVehicleDetail_SalesOrderVehicleDetailID_SequenceStartingValue,DF_SalesOrderVehicleDetail_SalesOrderVehicleDetailID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_SalesOrderVehicleDetail_SalesOrderVehicleDetailID_SequenceStartingValue,DF_SalesOrderVehicleDetail_SalesOrderVehicleDetailID_SequenceStartingValue,
1075839170::1117,DF_Staff_StaffID_SequenceStartingValue,Default Constraint Usage,DF_Staff_StaffID_SequenceStartingValue,DF_Staff_StaffID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_Staff_StaffID_SequenceStartingValue,DF_Staff_StaffID_SequenceStartingValue,
1075839170::1118,DF_Staff_ManagerID_ForeignKeyValue,Default Constraint Usage,DF_Staff_ManagerID_ForeignKeyValue,DF_Staff_ManagerID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_Staff_ManagerID_SequenceStartingValue,DF_Staff_ManagerID_ForeignKeyValue,
1075839170::1119,DF_SalesOrderVehicleDetail_ManufacturerVehicleStockID_ForeignKeyValue,Default Constraint Usage,DF_SalesOrderVehicleDetail_ManufacturerVehicleStockID_ForeignKeyValue,DF_SalesOrderVehicleDetail_ManufacturerVehicleStockID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_SalesOrderVehicleDetail_ManufacturerVehicleStockID_SequenceStartingValue,DF_SalesOrderVehicleDetail_ManufacturerVehicleStockID_ForeignKeyValue,
1075839170::1120,DF_Department_DepartmentID_SequenceStartingValue,Default Constraint Usage,DF_Department_DepartmentID_SequenceStartingValue,DF_Department_DepartmentID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,DF_Department_DepartmentID_SequenceStartingValue,DF_Department_DepartmentID_SequenceStartingValue,
1075839170::1121,DF_Staff_DepartmentID_ForeignKeyValue,Default Constraint Usage,DF_Staff_DepartmentID_ForeignKeyValue,DF_Staff_DepartmentID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,DF_Staff_DepartmentID_SequenceStartingValue,DF_Staff_DepartmentID_ForeignKeyValue,
1075839170::1122,DF_SalesOrderVehicleDetail_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_SalesOrderVehicleDetail_UserAuthorizationID_OrdinalNumber,DF_SalesOrderVehicleDetail_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_SalesOrderVehicleDetail_UserAuthorizationID_OrdinalNumber,DF_SalesOrderVehicleDetail_UserAuthorizationID_OrdinalNumber,
1075839170::1123,DF_ManufacturerVehicleStock_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_ManufacturerVehicleStock_UserAuthorizationID_OrdinalNumber,DF_ManufacturerVehicleStock_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_ManufacturerVehicleStock_UserAuthorizationID_OrdinalNumber,DF_ManufacturerVehicleStock_UserAuthorizationID_OrdinalNumber,
1075839170::1125,DF_ManufacturerVehicleModel_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_ManufacturerVehicleModel_UserAuthorizationID_OrdinalNumber,DF_ManufacturerVehicleModel_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_ManufacturerVehicleModel_UserAuthorizationID_OrdinalNumber,DF_ManufacturerVehicleModel_UserAuthorizationID_OrdinalNumber,
1075839170::1126,DF_SalesOrderVehicle_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_SalesOrderVehicle_UserAuthorizationID_OrdinalNumber,DF_SalesOrderVehicle_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_SalesOrderVehicle_UserAuthorizationID_OrdinalNumber,DF_SalesOrderVehicle_UserAuthorizationID_OrdinalNumber,
1075839170::1127,DF_Country_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_Country_UserAuthorizationID_OrdinalNumber,DF_Country_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Country_UserAuthorizationID_OrdinalNumber,DF_Country_UserAuthorizationID_OrdinalNumber,
1075839170::1129,DF_Staff_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_Staff_UserAuthorizationID_OrdinalNumber,DF_Staff_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Staff_UserAuthorizationID_OrdinalNumber,DF_Staff_UserAuthorizationID_OrdinalNumber,
1075839170::1130,DF_Customer_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_Customer_UserAuthorizationID_OrdinalNumber,DF_Customer_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Customer_UserAuthorizationID_OrdinalNumber,DF_Customer_UserAuthorizationID_OrdinalNumber,
1075839170::1135,DF_sdVehicleSalePayment_Price,Default Constraint Usage,DF_sdVehicleSalePayment_Price,DF_sdVehicleSalePayment_Price,,0,DF_Template_Price,,,DF_sdVehicleSalePayment_Price,DF_sdVehicleSalePayment_Price,
1075839170::1137,DF_Customer_CustomerName_Unavailable,Default Constraint Usage,DF_Customer_CustomerName_Unavailable,DF_Customer_CustomerName_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerName_Unavailable,
1075839170::1139,DF_Customer_CustomerPostalCode_Unavailable,Default Constraint Usage,DF_Customer_CustomerPostalCode_Unavailable,DF_Customer_CustomerPostalCode_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerPostalCode_Unavailable,
1075839170::1140,DF_Customer_CustomerTownUnavailable,Default Constraint Usage,DF_Customer_CustomerTownUnavailable,DF_Customer_CustomerTownUnavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerTownUnavailable,
1075839170::1142,DF_Customer_CustomerCountry_Unavailable,Default Constraint Usage,DF_Customer_CustomerCountry_Unavailable,DF_Customer_CustomerCountry_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerCountry_Unavailable,
1075839170::1144,DF_Customer_IsCustomerReseller_FlagFalse,Default Constraint Usage,DF_Customer_IsCustomerReseller_FlagFalse,DF_Customer_IsCustomerReseller_FlagFalse,,0,DF_Template_FlagFalse,,,,DF_Customer_IsCustomerReseller_FlagFalse,
1075839170::1145,DF_Customer_IsCustomerCreditRisk_FlagFalse,Default Constraint Usage,DF_Customer_IsCustomerCreditRisk_FlagFalse,DF_Customer_IsCustomerCreditRisk_FlagFalse,,0,DF_Template_FlagFalse,,,,DF_Customer_IsCustomerCreditRisk_FlagFalse,
1075839170::1147,DF_Template_Unavailable_1653628511,Default Constraint Usage,DF_Template_Unavailable_1653628511,DF_Template_Unavailable_1653628511,,'Unavailable',DF_Template_Unavailable,,,,DF_Template_Unavailable_1653628511,
1075839170::1154,DF_CustomerExpenditureClassification_CustomerExpenditureClassifier,Default Constraint Usage,DF_CustomerExpenditureClassification_CustomerExpenditureClassifier,DF_CustomerExpenditureClassification_CustomerExpenditureClassifier,,'Unavailable',DF_Template_Unavailable,,,,DF_CustomerExpenditureClassification_CustomerExpenditureClassifier,
1075839170::1246,DF_CustomerComments_Unavailable,Default Constraint Usage,DF_CustomerComments_Unavailable,DF_CustomerComments_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_ManufacturerVehicleStock_CustomerComments_Unavailable,,DF_CustomerComments_Unavailable,
1075839170::1271,DF_ManufacturerVehicleStock_CustomerComments_Unavailable,Default Constraint Usage,DF_ManufacturerVehicleStock_CustomerComments_Unavailable,DF_ManufacturerVehicleStock_CustomerComments_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_ManufacturerVehicleStock_CustomerComments_Unavailable,
1075839170::1277,DF_ManufacturerVehicleStock_ManufacturerVehicleStockID_SequenceStartingValue,Default Constraint Usage,DF_ManufacturerVehicleStock_ManufacturerVehicleStockID_SequenceStartingValue,DF_ManufacturerVehicleStock_ManufacturerVehicleStockID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,,DF_ManufacturerVehicleStock_ManufacturerVehicleStockID_SequenceStartingValue,
1075839170::1280,DF_CustomerExpenditureClassification_CustomerExpenditureClassifierID_SequenceStartingValue,Default Constraint Usage,DF_CustomerExpenditureClassification_CustomerExpenditureClassifierID_SequenceStartingValue,DF_CustomerExpenditureClassification_CustomerExpenditureClassifierID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,,DF_CustomerExpenditureClassification_CustomerExpenditureClassifierID_SequenceStartingValue,
1075839170::1284,DF_Template_SequenceStartingValue_1575684916,Default Constraint Usage,DF_Template_SequenceStartingValue_1575684916,DF_Template_SequenceStartingValue_1575684916,,1,DF_Template_SequenceStartingValue,,,,DF_Template_SequenceStartingValue_1575684916,
1075839170::1292,DF_Country_CountryID_SequenceStartingValue,Default Constraint Usage,DF_Country_CountryID_SequenceStartingValue,DF_Country_CountryID_SequenceStartingValue,,1,DF_Template_SequenceStartingValue,,,,DF_Country_CountryID_SequenceStartingValue,
1075839170::1296,DF_Customer_CustomerAddress1_Unavailable,Default Constraint Usage,DF_Customer_CustomerAddress1_Unavailable,DF_Customer_CustomerAddress1_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerAddress1_Unavailable,
1075839170::1297,DF_Customer_CustomerAddress2_Unavailable,Default Constraint Usage,DF_Customer_CustomerAddress2_Unavailable,DF_Customer_CustomerAddress2_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Customer_CustomerAddress2_Unavailable,
1075839170::1342,DF_UserAuthorization_ClassTime,Default Constraint Usage,DF_UserAuthorization_ClassTime,DF_UserAuthorization_ClassTime,,'9:15',DF_UserAuthorization_ClassTime,,,DF_UserAuthorization_ClassTime,DF_UserAuthorization_ClassTime,
1075839170::1343,DF_UserAuthorization_GroupProjectName,Default Constraint Usage,DF_UserAuthorization_GroupProjectName,DF_UserAuthorization_GroupProjectName,,'CSCI381 Group One Final Project',DF_UserAuthorization_GrouplProjectName,,,DF_UserAuthorization_IndividualProjectNameDF_UserAuthorization_IndividualProjectName,DF_UserAuthorization_GroupProjectName,
1075839170::1357,DF_UserAuthorization_DateAdded__Sysdatetime,Default Constraint Usage,DF_UserAuthorization_DateAdded__Sysdatetime,DF_UserAuthorization_DateAdded__Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_UserAuthorization_DateAdded__Sysdatetime,DF_UserAuthorization_DateAdded__Sysdatetime,
1075839170::1358,DF_UserAuthorization_UserAuthorizationId,Default Constraint Usage,DF_UserAuthorization_UserAuthorizationId,DF_UserAuthorization_UserAuthorizationId,,1,DF_Template_OrdinalNumber,,,,DF_UserAuthorization_UserAuthorizationId,
1075839170::1359,DF_UserAuthorization_DateOfLastUpdate_SysEndTime,Default Constraint Usage,DF_UserAuthorization_DateOfLastUpdate_SysEndTime,DF_UserAuthorization_DateOfOfLastUpdate_Sysdatetime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_UserAuthorization_DateOfOfLastUpdate_Sysdatetime,DF_UserAuthorization_DateOfLastUpdate_SysEndTime,
1075839170::1375,DF_sdPersonNameString_Unavailable,Default Constraint Usage,DF_sdPersonNameString_Unavailable,DF_sdPersonNameString_Unavailable,,'Unavailable',DF_Template_Unavailable,,"Default_Constraint_Usage_1376,DF_sdPersonNameString_FullNameString",,DF_sdPersonNameString_Unavailable,
1075839170::1376,Default_Constraint_Usage_1376,Default Constraint Usage,Default_Constraint_Usage_1376,Default_Constraint_Usage_1376,,'Unavailable',DF_Template_Unavailable,,DF_UserAuthorization_GroupMemberLastName,,Default_Constraint_Usage_1376,
1075839170::1377,DF_UserAuthorization_GroupMemberLastName,Default Constraint Usage,DF_UserAuthorization_GroupMemberLastName,DF_UserAuthorization_GroupMemberLastName,,'Unavailable',DF_Template_Unavailable,,,,DF_UserAuthorization_GroupMemberLastName,
1075839170::1379,Default_Constraint_Usage_1379,Default Constraint Usage,Default_Constraint_Usage_1379,Default_Constraint_Usage_1379,,'Unavailable',DF_Template_Unavailable,,,,Default_Constraint_Usage_1379,
1075839170::1384,DF_ManufacturerVehicleMake_Note,Default Constraint Usage,DF_ManufacturerVehicleMake_Note,DF_ManufacturerVehicleMake_Note,,'Row was inserted',DF_Template_Note,,,,DF_ManufacturerVehicleMake_Note,
1075839170::1387,DF_Template_FlagNo,Default Constraint Usage,DF_Template_FlagNo,DF_Template_FlagNo,,'N',DF_Template_FlagNo,,,,DF_Template_FlagNo,
1075839170::1389,DF_ManufacturerVehicleMake_TransactionNumber,Default Constraint Usage,DF_ManufacturerVehicleMake_TransactionNumber,DF_ManufacturerVehicleMake_TransactionNumber,,1,DF_Template_OrdinalNumber,,,,DF_ManufacturerVehicleMake_TransactionNumber,
1075839170::1394,DF_ManufacturerVehicleMake_SysStartTime_Sysdatetime,Default Constraint Usage,DF_ManufacturerVehicleMake_SysStartTime_Sysdatetime,DF_ManufacturerVehicleMake_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,,DF_ManufacturerVehicleMake_SysStartTime_Sysdatetime,
1075839170::1396,DF_Template_SysEndTime_1062630532,Default Constraint Usage,DF_Template_SysEndTime_1062630532,DF_Template_SysEndTime_1062630532,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,,DF_Template_SysEndTime_1062630532,
1075839170::1397,DF_MarketingCategory_UserAuthorizationID_OrdinalNumber,Default Constraint Usage,DF_MarketingCategory_UserAuthorizationID_OrdinalNumber,DF_MarketingCategory_UserAuthorizationID_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_MarketingCategory_UserAuthorizationID_OrdinalNumber,DF_MarketingCategory_UserAuthorizationID_OrdinalNumber,
1075839170::1399,Default_Constraint_Usage_1399,Default Constraint Usage,Default_Constraint_Usage_1399,Default_Constraint_Usage_1399,,'Unavailable',DF_Template_Unavailable,,DF_Template_Unavailable_1475131995,,Default_Constraint_Usage_1399,
1075839170::1400,DF_Template_Unavailable_1475131995,Default Constraint Usage,DF_Template_Unavailable_1475131995,DF_Template_Unavailable_1475131995,,'Unavailable',DF_Template_Unavailable,,,,DF_Template_Unavailable_1475131995,
1075839170::1410,DF_sdCustomerString_Unavailable,Default Constraint Usage,DF_sdCustomerString_Unavailable,DF_sdCustomerString_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_sdCustomerString_Unavailable,
1075839170::1414,DF_DateAdded_Sysdatetime,Default Constraint Usage,DF_DateAdded_Sysdatetime,DF_DateAdded_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,,DF_DateAdded_Sysdatetime,
1075839170::1415,DF_UserAuthorization_GroupMemberFirstName_Unavailable,Default Constraint Usage,DF_UserAuthorization_GroupMemberFirstName_Unavailable,DF_UserAuthorization_GroupMemberFirstName_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_UserAuthorization_GroupMemberFirstName_Unavailable,
1075839170::1418,DF_sdPersonNameString_FullNameString,Default Constraint Usage,DF_sdPersonNameString_FullNameString,DF_sdPersonNameString_FullNameString,,'Unavailable',DF_Template_Unavailable,,DF_Staff_StaffName_Unavailable,,DF_sdPersonNameString_FullNameString,
1075839170::1419,DF_Staff_StaffName_Unavailable,Default Constraint Usage,DF_Staff_StaffName_Unavailable,DF_Staff_StaffName_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_Staff_StaffName_Unavailable,
1075839170::1420,DF_UserAuthorization_GroupName,Default Constraint Usage,DF_UserAuthorization_GroupName,DF_UserAuthorization_GroupName,,'Group One',DF_UserAuthorization_GroupName,,,,DF_UserAuthorization_GroupName,
1075839170::1430,Default_Constraint_Usage_1430,Default Constraint Usage,Default_Constraint_Usage_1430,Default_Constraint_Usage_1430,,'Unavailable',DF_Template_Unavailable,,DF_ManufacturerMarketingCategory_VehicleManufacturerMarketingType_Unavailable,,Default_Constraint_Usage_1430,
1075839170::1439,DF_ManufacturerMarketingCategory_VehicleManufacturerMarketingType_Unavailable,Default Constraint Usage,DF_ManufacturerMarketingCategory_VehicleManufacturerMarketingType_Unavailable,DF_ManufacturerMarketingCategory_VehicleManufacturerMarketingType_Unavailable,,'Unavailable',DF_Template_Unavailable,,,,DF_ManufacturerMarketingCategory_VehicleManufacturerMarketingType_Unavailable,
1075839170::1450,DF_CountryISO3,Default Constraint Usage,DF_CountryISO3,DF_CountryISO3,,'AAA',DF_Template_CountryISO3,,,,DF_CountryISO3,
1075839170::1454,DF_ManufacturerVehicleMake_ManufacturerVehicleMarketingCategory_ForeignKeyValue,Default Constraint Usage,DF_ManufacturerVehicleMake_ManufacturerVehicleMarketingCategory_ForeignKeyValue,DF_ManufacturerVehicleMake_ManufacturerVehicleMarketingCategory_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,,DF_ManufacturerVehicleMake_ManufacturerVehicleMarketingCategory_ForeignKeyValue,
1075839170::1455,DF_Customer_MarketingInformationID,Default Constraint Usage,DF_Customer_MarketingInformationID,DF_Customer_MarketingInformationID,,0,DF_Template_ForeignKeyValue,,,,DF_Customer_MarketingInformationID,
1075839170::1456,DF_Customer_CountryID,Default Constraint Usage,DF_Customer_CountryID,DF_Customer_CountryID,,0,DF_Template_ForeignKeyValue,,,,DF_Customer_CountryID,
1075839170::1457,DF_ManufacturerVehicleMake_CountryID_ForeignKeyValue,Default Constraint Usage,DF_ManufacturerVehicleMake_CountryID_ForeignKeyValue,DF_ManufacturerVehicleMake_CountryID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,,DF_ManufacturerVehicleMake_CountryID_ForeignKeyValue,
1075839170::1458,DF_SalesOrderVehicle_SalesCategoryThresholdID_ForeignKeyValue,Default Constraint Usage,DF_SalesOrderVehicle_SalesCategoryThresholdID_ForeignKeyValue,DF_SalesOrderVehicle_SalesCategoryThresholdID_ForeignKeyValue,,0,DF_Template_ForeignKeyValue,,,,DF_SalesOrderVehicle_SalesCategoryThresholdID_ForeignKeyValue,
